date,sales,customers,region,product_category
2023-01-01,15000,120,North,Electronics
2023-01-02,12500,98,North,Electronics
2023-01-03,13200,105,South,Appliances
2023-01-04,14800,115,East,Electronics
2023-01-05,16200,130,West,Furniture
2023-01-06,15800,125,North,Appliances
2023-01-07,11900,95,South,Electronics
2023-01-08,13500,108,East,Furniture
2023-01-09,14200,112,West,Electronics
2023-01-10,15500,124,North,Appliances
2023-01-11,16800,135,South,Electronics
2023-01-12,14900,118,East,Furniture
2023-01-13,13800,110,West,Electronics
2023-01-14,15200,122,North,Appliances
2023-01-15,16500,132,South,Electronics
2023-01-16,14200,113,East,Furniture
2023-01-17,13900,111,West,Electronics
2023-01-18,15600,125,North,Appliances
2023-01-19,16900,136,South,Electronics
2023-01-20,15000,120,East,Furniture
2023-01-21,14100,112,West,Electronics
2023-01-22,15700,126,North,Appliances
2023-01-23,17000,137,South,Electronics
2023-01-24,15100,121,East,Furniture
2023-01-25,14200,113,West,Electronics
2023-01-26,15800,127,North,Appliances
2023-01-27,17100,138,South,Electronics
2023-01-28,15200,122,East,Furniture
2023-01-29,14300,114,West,Electronics
2023-01-30,15900,128,North,Appliances
2023-01-31,17200,139,South,Electronics 
