applicant_id,age,gender,race,education,years_experience,previous_salary,applied_salary,department,position_level,interview_score,hired
1,35,Male,White,Masters,10,85000,90000,Engineering,Senior,8.5,1
2,28,Female,White,Bachelors,5,65000,70000,Engineering,Mid,7.8,1
3,42,Male,Asian,PhD,15,95000,100000,Engineering,Senior,9.0,1
4,31,Female,Black,Bachelors,7,70000,75000,Engineering,Mid,8.2,0
5,45,Male,White,Masters,18,100000,105000,Engineering,Senior,8.8,1
6,29,Female,Hispanic,Bachelors,4,60000,65000,Engineering,Junior,7.5,0
7,38,Male,White,Masters,12,90000,95000,Engineering,Senior,8.6,1
8,33,Female,Asian,Masters,8,75000,80000,Engineering,Mid,8.4,1
9,47,Male,White,PhD,20,110000,115000,Engineering,Senior,9.2,1
10,26,Female,Black,Bachelors,3,55000,60000,Engineering,Junior,7.2,0
11,36,Male,White,Masters,11,88000,92000,Engineering,Senior,8.7,1
12,41,Female,White,PhD,14,92000,97000,Engineering,Senior,8.9,1
13,30,Male,Hispanic,Bachelors,6,68000,72000,Engineering,Mid,7.9,0
14,44,Female,Asian,PhD,16,98000,102000,Engineering,Senior,9.1,1
15,27,Male,Black,Bachelors,4,58000,62000,Engineering,Junior,7.4,0
16,39,Female,White,Masters,13,91000,96000,Engineering,Senior,8.8,1
17,32,Male,Asian,Masters,7,72000,77000,Engineering,Mid,8.3,1
18,46,Female,White,PhD,19,105000,110000,Engineering,Senior,9.3,1
19,28,Male,Hispanic,Bachelors,5,63000,67000,Engineering,Junior,7.6,0
20,37,Female,White,Masters,12,89000,94000,Engineering,Senior,8.7,1
21,40,Male,White,PhD,15,95000,100000,Engineering,Senior,9.0,1
22,34,Female,Black,Masters,9,78000,83000,Engineering,Mid,8.5,0
23,43,Male,Asian,PhD,17,100000,105000,Engineering,Senior,9.2,1
24,25,Female,Hispanic,Bachelors,2,52000,56000,Engineering,Junior,7.0,0
25,38,Male,White,Masters,13,92000,97000,Engineering,Senior,8.8,1
26,31,Female,Asian,Masters,6,70000,75000,Engineering,Mid,8.1,1
27,45,Male,White,PhD,18,108000,112000,Engineering,Senior,9.4,1
28,29,Female,Black,Bachelors,5,62000,66000,Engineering,Junior,7.7,0
29,36,Male,White,Masters,11,87000,92000,Engineering,Senior,8.6,1
30,42,Female,White,PhD,16,97000,102000,Engineering,Senior,9.1,1 
